Id,Name,PlayerPhoto_paths,CountryFlag_paths,ClubLogo_paths
205726,G. Brugman,static/images/PlayerPhoto/205726,static/images/CountryFlag/205726,static/images/ClubLogo/205726
239117,A. Băluță,static/images/PlayerPhoto/239117,static/images/CountryFlag/239117,static/images/ClubLogo/239117
221370,M. Al Buraik,static/images/PlayerPhoto/221370,static/images/CountryFlag/221370,static/images/ClubLogo/221370
212722,D. Yedlin,static/images/PlayerPhoto/212722,static/images/CountryFlag/212722,static/images/ClubLogo/212722
220968,A. El Messaoudi,static/images/PlayerPhoto/220968,static/images/CountryFlag/220968,static/images/ClubLogo/220968
178628,F. Forestieri,static/images/PlayerPhoto/178628,static/images/CountryFlag/178628,static/images/ClubLogo/178628
196916,M. Pack,static/images/PlayerPhoto/196916,static/images/CountryFlag/196916,static/images/ClubLogo/196916
213134,L. Öztunalı,static/images/PlayerPhoto/213134,static/images/CountryFlag/213134,static/images/ClubLogo/213134
220815,J. Narváez,static/images/PlayerPhoto/220815,static/images/CountryFlag/220815,static/images/ClubLogo/220815
123621,19 S. Muntari,static/images/PlayerPhoto/123621,static/images/CountryFlag/123621,static/images/ClubLogo/123621
232477,S. Al Ghannam,static/images/PlayerPhoto/232477,static/images/CountryFlag/232477,static/images/ClubLogo/232477
213439,J. Osorio,static/images/PlayerPhoto/213439,static/images/CountryFlag/213439,static/images/ClubLogo/213439
230988,F. Krovinović,static/images/PlayerPhoto/230988,static/images/CountryFlag/230988,static/images/ClubLogo/230988
239106,L. Koutris,static/images/PlayerPhoto/239106,static/images/CountryFlag/239106,static/images/ClubLogo/239106
222734,Kang Sang Woo,static/images/PlayerPhoto/222734,static/images/CountryFlag/222734,static/images/ClubLogo/222734
221120,R. Vloet,static/images/PlayerPhoto/221120,static/images/CountryFlag/221120,static/images/ClubLogo/221120
181236,Fernando Boldrin,static/images/PlayerPhoto/181236,static/images/CountryFlag/181236,static/images/ClubLogo/181236
206085,J. Murphy,static/images/PlayerPhoto/206085,static/images/CountryFlag/206085,static/images/ClubLogo/206085
173146,21 L. Cigarini,static/images/PlayerPhoto/173146,static/images/CountryFlag/173146,static/images/ClubLogo/173146
237840,M. Andersen,static/images/PlayerPhoto/237840,static/images/CountryFlag/237840,static/images/ClubLogo/237840
226012,R. Manning,static/images/PlayerPhoto/226012,static/images/CountryFlag/226012,static/images/ClubLogo/226012
157479,21 Pedro López,static/images/PlayerPhoto/157479,static/images/CountryFlag/157479,static/images/ClubLogo/157479
222537,21 Zizo,static/images/PlayerPhoto/222537,static/images/CountryFlag/222537,static/images/ClubLogo/222537
