Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
282,2016-09-01,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Uruguay,Y,,,,,43,0-0,Fernando Muslera,,,,,,
,,,,,,,,,,,,,,,,,,,,
283,2016-08-20,La Liga,Matchweek 1,Home,Barcelona,Betis,Y*,,,,,57,4-1,Antonio Adán,Arda Turan,,,,,
284,2016-08-20,La Liga,Matchweek 1,Home,Barcelona,Betis,Y*,,,,,37,1-1,Antonio Adán,Sergi Roberto,,,,,
285,2016-08-17,Supercopa de España,Supercopa de España,Home,Barcelona,Sevilla,Y*,,,,,55,2-0,Sergio Rico,Lucas Digne,,,,,
,,,,,,,,,,,,,,,,,,,,
286,2016-06-21,Copa América Centenario,Semi-finals,Away,Argentina,United States,Y*,,,,,32,1-0,Brad Guzan,,,,,,
287,2016-06-18,Copa América Centenario,Quarter-finals,Home,Argentina,Venezuela,Y*,,,,,60,2-0,Dani Hernández,Nicolás Gaitán,,,,,
288,2016-06-10,Copa América Centenario,Group stage,Home,Argentina,Panama,N,,,,,87,3-0,Jaime Penedo,Marcos Rojo,,,,,
289,2016-06-10,Copa América Centenario,Group stage,Home,Argentina,Panama,N,,,,,78,2-0,Jaime Penedo,,,,,,
290,2016-06-10,Copa América Centenario,Group stage,Home,Argentina,Panama,N,,,,,68,1-0,Jaime Penedo,Gonzalo Higuaín,,,,,
,,,,,,,,,,,,,,,,,,,,
291,2016-05-08,La Liga,Matchweek 37,Home,Barcelona,Espanyol,Y,,,,,8,0-0,Pau López,,,,,,
292,2016-04-23,La Liga,Matchweek 35,Home,Barcelona,Sporting Gijón,Y,,,,,12,0-0,Iván Cuéllar,,,,,,
293,2016-04-20,La Liga,Matchweek 34,Away,Barcelona,La Coruña,Y,,,,,73,5-0,Manu,Luis Suárez,,,,,
294,2016-04-17,La Liga,Matchweek 33,Home,Barcelona,Valencia,Y,,,,,63,0-2,Diego Alves,Jordi Alba,,,,,
,,,,,,,,,,,,,,,,,,,,
295,2016-03-29,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Bolivia,Y,,,,,30,1-0,Carlos Lampe,,,,,,
,,,,,,,,,,,,,,,,,,,,
296,2016-03-16,Champions Lg,Round of 16,Home,Barcelona,Arsenal,Y,,,,,88,2-1,David Ospina,,,,,,
297,2016-03-12,La Liga,Matchweek 29,Home,Barcelona,Getafe,Y,,,,,40,3-0,Vicente Guaita,Arda Turan,,,,,
298,2016-03-06,La Liga,Matchweek 28,Away,Barcelona,Eibar,Y*,,,,,76,2-0,Asier Riesgo,,,,,,
299,2016-03-06,La Liga,Matchweek 28,Away,Barcelona,Eibar,Y*,,,,,41,1-0,Asier Riesgo,Munir El Haddadi,,,,,
300,2016-03-03,La Liga,Matchweek 27,Away,Barcelona,Rayo Vallecano,Y,,,,,72,3-1,Juan Carlos,Sergio Busquets,,,,,
301,2016-03-03,La Liga,Matchweek 27,Away,Barcelona,Rayo Vallecano,Y,,,,,53,2-0,Juan Carlos,,,,,,
302,2016-03-03,La Liga,Matchweek 27,Away,Barcelona,Rayo Vallecano,Y,,,,,23,1-0,Juan Carlos,Neymar,,,,,
303,2016-02-28,La Liga,Matchweek 26,Home,Barcelona,Sevilla,Y*,,,,,31,0-1,Sergio Rico,,,,,,
304,2016-02-23,Champions Lg,Round of 16,Away,Barcelona,Arsenal,Y,,,,,83,1-0,Petr Čech,,,,,,
305,2016-02-23,Champions Lg,Round of 16,Away,Barcelona,Arsenal,Y,,,,,71,0-0,Petr Čech,Neymar,,,,,
306,2016-02-17,La Liga,Matchweek 16,Away,Barcelona,Sporting Gijón,Y*,,,,,31,1-1,Iván Cuéllar,Luis Suárez,,,,,
307,2016-02-17,La Liga,Matchweek 16,Away,Barcelona,Sporting Gijón,Y*,,,,,25,0-0,Iván Cuéllar,Luis Suárez,,,,,
308,2016-02-14,La Liga,Matchweek 24,Home,Barcelona,Celta Vigo,Y,,,,,28,0-0,Sergio Álvarez,,,,,,
309,2016-02-03,Copa del Rey,Semi-finals,Home,Barcelona,Valencia,Y,,,,,74,4-0,Mathew Ryan,,,,,,
310,2016-02-03,Copa del Rey,Semi-finals,Home,Barcelona,Valencia,Y,,,,,59,3-0,Mathew Ryan,Luis Suárez,,,,,
311,2016-02-03,Copa del Rey,Semi-finals,Home,Barcelona,Valencia,Y,,,,,29,2-0,Mathew Ryan,Neymar,,,,,
312,2016-01-30,La Liga,Matchweek 22,Home,Barcelona,Atlético Madrid,Y,,,,,30,0-1,Jan Oblak,Jordi Alba,,,,,
313,2016-01-23,La Liga,Matchweek 21,Away,Barcelona,Málaga,Y,,,,,51,1-1,Carlos Kameni,Adriano,,,,,
314,2016-01-17,La Liga,Matchweek 20,Home,Barcelona,Athletic Club,Y,,,,,7,0-0,Iago Herrerín,,,,,,
315,2016-01-09,La Liga,Matchweek 19,Home,Barcelona,Granada,Y*,,,,,58,2-0,Andrés Fernández,,,,,,
316,2016-01-09,La Liga,Matchweek 19,Home,Barcelona,Granada,Y*,,,,,14,1-0,Andrés Fernández,Luis Suárez,,,,,
317,2016-01-09,La Liga,Matchweek 19,Home,Barcelona,Granada,Y*,,,,,8,0-0,Andrés Fernández,Arda Turan,,,,,
318,2016-01-06,Copa del Rey,Round of 16,Home,Barcelona,Espanyol,Y,,,,,44,1-1,Pau López,,,,,,
319,2016-01-06,Copa del Rey,Round of 16,Home,Barcelona,Espanyol,Y,,,,,13,0-1,Pau López,,,,,,
320,2015-12-30,La Liga,Matchweek 17,Home,Barcelona,Betis,Y*,,,,,33,1-0,Antonio Adán,Neymar,,,,,
321,2015-12-12,La Liga,Matchweek 15,Home,Barcelona,La Coruña,Y,,,,,39,0-0,Germán Lux,,,,,,
322,2015-12-09,Champions Lg,Group stage,Away,Barcelona,Leverkusen,Y*,,,,,20,0-0,Bernd Leno,Ivan Rakitić,,,,,
323,2015-11-28,La Liga,Matchweek 13,Home,Barcelona,Real Sociedad,Y,,,,,90+1,3-0,Gerónimo Rulli,Neymar,,,,,
324,2015-11-24,Champions Lg,Group stage,Home,Barcelona,Roma,Y*,,,,,59,4-0,Wojciech Szczęsny,,,,,,
325,2015-11-24,Champions Lg,Group stage,Home,Barcelona,Roma,Y*,,,,,18,1-0,Wojciech Szczęsny,Luis Suárez,,,,,
326,2015-09-20,La Liga,Matchweek 4,Home,Barcelona,Levante,Y*,,,,,90,3-1,Rubén,Marc Bartra,,,,,
327,2015-09-20,La Liga,Matchweek 4,Home,Barcelona,Levante,Y*,,,,,61,2-0,Rubén,,,,,,
328,2015-09-12,La Liga,Matchweek 3,Away,Barcelona,Atlético Madrid,N,,,,,77,1-1,Jan Oblak,Luis Suárez,,,,,
,,,,,,,,,,,,,,,,,,,,
329,2015-09-08,Friendlies (M),Friendlies (M),Home,Argentina,Mexico,Y,,,,,89,1-2,Moisés Muñoz,Sergio Agüero,,,,,
330,2015-09-04,Friendlies (M),Friendlies (M),Home,Argentina,Bolivia,N,,,,,75,5-0,Daniel Vaca,Sergio Agüero,,,,,
331,2015-09-04,Friendlies (M),Friendlies (M),Home,Argentina,Bolivia,N,,,,,67,4-0,Daniel Vaca,Milton Casco,,,,,
,,,,,,,,,,,,,,,,,,,,
332,2015-08-17,Supercopa de España,Supercopa de España,Home,Barcelona,Athletic Club,Y,,,,,43,0-0,Gorka Iraizoz,Luis Suárez,,,,,
333,2015-08-11,Super Cup,UEFA Super Cup,Home,Barcelona,Sevilla,Y,,,,,15,1-1,Beto,,,,,,
334,2015-08-11,Super Cup,UEFA Super Cup,Home,Barcelona,Sevilla,Y,,,,,7,0-1,Beto,,,,,,
,,,,,,,,,,,,,,,,,,,,
335,2015-06-13,Copa América,Group stage,Neutral,Argentina,Paraguay,Y*,,,,,36,1-0,Antony Silva,,,,,,
,,,,,,,,,,,,,,,,,,,,
336,2015-05-30,Copa del Rey,Final,Away,Barcelona,Athletic Club,Y,,,,,74,2-0,Iago Herrerín,Dani Alves,,,,,
337,2015-05-30,Copa del Rey,Final,Away,Barcelona,Athletic Club,Y,,,,,20,0-0,Iago Herrerín,Dani Alves,,,,,
338,2015-05-23,La Liga,Matchweek 38,Home,Barcelona,La Coruña,Y,,,,,59,1-0,Fabricio,Neymar,,,,,
339,2015-05-23,La Liga,Matchweek 38,Home,Barcelona,La Coruña,Y,,,,,5,0-0,Fabricio,Rafinha,,,,,
340,2015-05-17,La Liga,Matchweek 37,Away,Barcelona,Atlético Madrid,Y,,,,,65,0-0,Jan Oblak,Pedro,,,,,
341,2015-05-06,Champions Lg,Semi-finals,Home,Barcelona,Bayern Munich,Y,,,,,80,1-0,Manuel Neuer,Ivan Rakitić,,,,,
342,2015-05-06,Champions Lg,Semi-finals,Home,Barcelona,Bayern Munich,Y,,,,,77,0-0,Manuel Neuer,Dani Alves,,,,,
343,2015-05-02,La Liga,Matchweek 35,Away,Barcelona,Córdoba,Y,,,,,80,5-0,Juan Carlos,Luis Suárez,,,,,
344,2015-05-02,La Liga,Matchweek 35,Away,Barcelona,Córdoba,Y,,,,,46,2-0,Juan Carlos,Dani Alves,,,,,
345,2015-04-28,La Liga,Matchweek 34,Home,Barcelona,Getafe,Y,,,,,47,5-0,Vicente Guaita,,,,,,
346,2015-04-28,La Liga,Matchweek 34,Home,Barcelona,Getafe,Y,,,,,9,0-0,Vicente Guaita,,,,,,
347,2015-04-25,La Liga,Matchweek 33,Away,Barcelona,Espanyol,Y,,,,,25,1-0,Kiko Casilla,Luis Suárez,,,,,
348,2015-04-18,La Liga,Matchweek 32,Home,Barcelona,Valencia,Y,,,,,90+4,1-0,Diego Alves,,,,,,
349,2015-04-11,La Liga,Matchweek 31,Away,Barcelona,Sevilla,Y,,,,,14,0-0,Sergio Rico,Neymar,,,,,
350,2015-04-08,La Liga,Matchweek 30,Home,Barcelona,Almería,Y,,,,,33,0-0,Julián Cuesta,Marc Bartra,,,,,
351,2015-03-14,La Liga,Matchweek 27,Away,Barcelona,Eibar,Y,,,,,55,1-0,Jaime,Ivan Rakitić,,,,,
352,2015-03-14,La Liga,Matchweek 27,Away,Barcelona,Eibar,Y,,,,,31,0-0,Jaime,,,,,,
353,2015-03-08,La Liga,Matchweek 26,Home,Barcelona,Rayo Vallecano,Y,,,,,68,4-0,Cristian Álvarez,Pedro,,,,,
354,2015-03-08,La Liga,Matchweek 26,Home,Barcelona,Rayo Vallecano,Y,,,,,63,3-0,Cristian Álvarez,,,,,,
355,2015-03-08,La Liga,Matchweek 26,Home,Barcelona,Rayo Vallecano,Y,,,,,56,2-0,Cristian Álvarez,,,,,,
356,2015-02-28,La Liga,Matchweek 25,Away,Barcelona,Granada,Y,,,,,70,2-1,Oier Olazábal,Luis Suárez,,,,,
357,2015-02-15,La Liga,Matchweek 23,Home,Barcelona,Levante,Y,,,,,65,3-0,Diego Mariño,,,,,,
358,2015-02-15,La Liga,Matchweek 23,Home,Barcelona,Levante,Y,,,,,60,2-0,Diego Mariño,Pedro,,,,,
359,2015-02-15,La Liga,Matchweek 23,Home,Barcelona,Levante,Y,,,,,38,1-0,Diego Mariño,Marc Bartra,,,,,
360,2015-02-11,Copa del Rey,Semi-finals,Home,Barcelona,Villarreal,Y,,,,,41,0-0,Sergio Asenjo,Luis Suárez,,,,,
361,2015-02-08,La Liga,Matchweek 22,Away,Barcelona,Athletic Club,Y,,,,,15,0-0,Gorka Iraizoz,,,,,,
362,2015-02-01,La Liga,Matchweek 21,Home,Barcelona,Villarreal,Y,,,,,55,2-2,Sergio Asenjo,Luis Suárez,,,,,
363,2015-01-24,La Liga,Matchweek 20,Away,Barcelona,Elche,Y,,,,,88,4-0,Przemysław Tytoń,Marc Bartra,,,,,
364,2015-01-24,La Liga,Matchweek 20,Away,Barcelona,Elche,Y,,,,,55,1-0,Przemysław Tytoń,,,,,,
365,2015-01-21,Copa del Rey,Quarter-finals,Home,Barcelona,Atlético Madrid,Y,,,,,85,0-0,Jan Oblak,,,,,,
366,2015-01-18,La Liga,Matchweek 19,Away,Barcelona,La Coruña,Y,,,,,62,2-0,Fabricio,,,,,,
367,2015-01-18,La Liga,Matchweek 19,Away,Barcelona,La Coruña,Y,,,,,33,1-0,Fabricio,Luis Suárez,,,,,
368,2015-01-18,La Liga,Matchweek 19,Away,Barcelona,La Coruña,Y,,,,,11,0-0,Fabricio,Ivan Rakitić,,,,,
369,2015-01-11,La Liga,Matchweek 18,Home,Barcelona,Atlético Madrid,Y,,,,,87,2-1,Miguel Ángel Moyá,,,,,,
370,2015-01-08,Copa del Rey,Round of 16,Home,Barcelona,Elche,Y,,,,,45,2-0,Przemysław Tytoń,,,,,,
371,2014-12-20,La Liga,Matchweek 16,Home,Barcelona,Córdoba,Y,,,,,90+2,4-0,Juan Carlos,,,,,,
372,2014-12-20,La Liga,Matchweek 16,Home,Barcelona,Córdoba,Y,,,,,82,3-0,Juan Carlos,,,,,,
373,2014-12-10,Champions Lg,Group stage,Home,Barcelona,Paris S-G,Y,,,,,19,0-1,,Luis Suárez,,,,,
374,2014-12-07,La Liga,Matchweek 14,Home,Barcelona,Espanyol,Y,,,,,81,4-1,Kiko Casilla,Pedro,,,,,
375,2014-12-07,La Liga,Matchweek 14,Home,Barcelona,Espanyol,Y,,,,,50,1-1,Kiko Casilla,Luis Suárez,,,,,
376,2014-12-07,La Liga,Matchweek 14,Home,Barcelona,Espanyol,Y,,,,,45+1,0-1,Kiko Casilla,Xavi,,,,,
377,2014-11-25,Champions Lg,Group stage,Away,Barcelona,APOEL FC,Y,,,,,87,3-0,Urko Pardo,Pedro,,,,,
378,2014-11-25,Champions Lg,Group stage,Away,Barcelona,APOEL FC,Y,,,,,58,2-0,Urko Pardo,Dani Alves,,,,,
379,2014-11-25,Champions Lg,Group stage,Away,Barcelona,APOEL FC,Y,,,,,38,1-0,Urko Pardo,Rafinha,,,,,
380,2014-11-22,La Liga,Matchweek 12,Home,Barcelona,Sevilla,Y,,,,,78,4-1,Beto,Neymar,,,,,
381,2014-11-22,La Liga,Matchweek 12,Home,Barcelona,Sevilla,Y,,,,,72,3-1,Beto,Luis Suárez,,,,,
382,2014-11-22,La Liga,Matchweek 12,Home,Barcelona,Sevilla,Y,,,,,21,0-0,Beto,,,,,,
,,,,,,,,,,,,,,,,,,,,
383,2014-11-12,Friendlies (M),Friendlies (M),Home,Argentina,Croatia,Y*,,,,,57,1-1,Lovre Kalinić,,,,,,
,,,,,,,,,,,,,,,,,,,,
384,2014-11-05,Champions Lg,Group stage,Away,Barcelona,Ajax,Y,,,,,76,1-0,Jasper Cillessen,Pedro,,,,,
385,2014-11-05,Champions Lg,Group stage,Away,Barcelona,Ajax,Y,,,,,36,0-0,Jasper Cillessen,Marc Bartra,,,,,
386,2014-10-21,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,,,,,24,1-0,Jasper Cillessen,Andrés Iniesta,,,,,
387,2014-10-18,La Liga,Matchweek 8,Home,Barcelona,Eibar,Y,,,,,74,2-0,Xabi Irureta,Neymar,,,,,
,,,,,,,,,,,,,,,,,,,,
388,2014-10-14,Friendlies (M),Friendlies (M),Away,Argentina,Hong Kong,N,,,,,85,6-0,Yapp Hung Fai,,,,,,
389,2014-10-14,Friendlies (M),Friendlies (M),Away,Argentina,Hong Kong,N,,,,,66,4-0,Yapp Hung Fai,Éver Banega,,,,,
,,,,,,,,,,,,,,,,,,,,
390,2014-10-04,La Liga,Matchweek 7,Away,Barcelona,Rayo Vallecano,Y,,,,,35,0-0,Toño,Gerard Piqué,,,,,
391,2014-09-30,Champions Lg,Group stage,Away,Barcelona,Paris S-G,Y,,,,,11,0-1,Salvatore Sirigu,Andrés Iniesta,,,,,
392,2014-09-27,La Liga,Matchweek 6,Home,Barcelona,Granada,Y,,,,,82,5-0,Roberto,,,,,,
393,2014-09-27,La Liga,Matchweek 6,Home,Barcelona,Granada,Y,,,,,62,3-0,Roberto,Dani Alves,,,,,
394,2014-09-21,La Liga,Matchweek 4,Away,Barcelona,Levante,Y,,,,,77,4-0,Jesús,,,,,,
395,2014-08-24,La Liga,Matchweek 1,Home,Barcelona,Elche,Y,,,,,64,2-0,Przemysław Tytoń,,,,,,
396,2014-08-24,La Liga,Matchweek 1,Home,Barcelona,Elche,Y,,,,,42,0-0,Przemysław Tytoń,Sergio Busquets,,,,,
,,,,,,,,,,,,,,,,,,,,
397,2014-06-25,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,,,,,45+1,1-1,Vincent Enyeama,,,,,,
398,2014-06-25,FIFA World Cup,Group stage,Neutral,Argentina,Nigeria,Y,,,,,3,0-0,Vincent Enyeama,,,,,,
399,2014-06-21,FIFA World Cup,Group stage,Neutral,Argentina,IR Iran,Y,,,,,90+1,0-0,Alireza Haghighi,,,,,,
400,2014-06-15,FIFA World Cup,Group stage,Neutral,Argentina,Bosnia & Herz'na,Y,,,,,65,1-0,Asmir Begović,Gonzalo Higuaín,,,,,
,,,,,,,,,,,,,,,,,,,,
401,2014-05-03,La Liga,Matchweek 36,Home,Barcelona,Getafe,Y,,,,,22,0-0,Júlio César,,,,,,
402,2014-04-27,La Liga,Matchweek 35,Away,Barcelona,Villarreal,Y,,,,,82,2-2,Sergio Asenjo,,,,,,
403,2014-04-20,La Liga,Matchweek 34,Home,Barcelona,Athletic Club,Y,,,,,74,1-1,Gorka Iraizoz,,,,,,
404,2014-04-05,La Liga,Matchweek 32,Home,Barcelona,Betis,Y,,,,,85,2-1,Antonio Adán,,,,,,
405,2014-04-05,La Liga,Matchweek 32,Home,Barcelona,Betis,Y,,,,,14,0-0,Antonio Adán,,,,,,
406,2014-03-29,La Liga,Matchweek 31,Away,Barcelona,Espanyol,Y,,,,,77,0-0,Kiko Casilla,,,,,,
407,2014-03-26,La Liga,Matchweek 30,Home,Barcelona,Celta Vigo,Y,,,,,44,1-0,Yoel,,,,,,
408,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,,,,,84,3-3,Diego López,,,,,,
409,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,,,,,64,2-3,Diego López,,,,,,
410,2014-03-23,La Liga,Matchweek 29,Away,Barcelona,Real Madrid,Y,,,,,42,1-2,Diego López,,,,,,
411,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,,,,,87,5-0,Andrés Fernández,,,,,,
412,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,,,,,62,3-0,Andrés Fernández,,,,,,
413,2014-03-16,La Liga,Matchweek 28,Home,Barcelona,Osasuna,Y,,,,,17,0-0,Andrés Fernández,,,,,,
414,2014-03-12,Champions Lg,Round of 16,Home,Barcelona,Manchester City,Y,,,,,67,0-0,,,,,,,
415,2014-03-02,La Liga,Matchweek 26,Home,Barcelona,Almería,Y,,,,,23,1-0,Esteban,,,,,,
416,2014-02-22,La Liga,Matchweek 25,Away,Barcelona,Real Sociedad,Y,,,,,35,0-1,Claudio Bravo,,,,,,
417,2014-02-18,Champions Lg,Round of 16,Away,Barcelona,Manchester City,Y,,,,,54,0-0,,,,,,,
418,2014-02-15,La Liga,Matchweek 24,Home,Barcelona,Rayo Vallecano,Y,,,,,67,4-0,Rubén,,,,,,
419,2014-02-15,La Liga,Matchweek 24,Home,Barcelona,Rayo Vallecano,Y,,,,,35,1-0,Rubén,,,,,,
420,2014-02-09,La Liga,Matchweek 23,Away,Barcelona,Sevilla,Y,,,,,55,2-1,Beto,,,,,,
421,2014-02-09,La Liga,Matchweek 23,Away,Barcelona,Sevilla,Y,,,,,43,1-1,Beto,,,,,,
422,2014-02-01,La Liga,Matchweek 22,Home,Barcelona,Valencia,Y,,,,,53,1-2,Diego Alves,,,,,,
423,2013-11-06,Champions Lg,Group stage,Home,Barcelona,Milan,Y,,,,,83,2-1,,,,,,,
424,2013-11-06,Champions Lg,Group stage,Home,Barcelona,Milan,Y,,,,,30,0-0,,,,,,,
425,2013-10-22,Champions Lg,Group stage,Away,Barcelona,Milan,Y,,,,,23,0-1,,,,,,,
426,2013-09-28,La Liga,Matchweek 7,Away,Barcelona,Almería,Y,,,,,20,0-0,Esteban,,,,,,
427,2013-09-24,La Liga,Matchweek 6,Home,Barcelona,Real Sociedad,Y,,,,,7,1-0,Claudio Bravo,,,,,,
428,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,,,,,75,3-0,,,,,,,
429,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,,,,,55,1-0,,,,,,,
430,2013-09-18,Champions Lg,Group stage,Home,Barcelona,Ajax,Y,,,,,22,0-0,,,,,,,
431,2013-09-14,La Liga,Matchweek 4,Home,Barcelona,Sevilla,Y,,,,,74,1-0,Beto,,,,,,
,,,,,,,,,,,,,,,,,,,,
432,2013-09-10,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Paraguay,Y*,,,,,52,3-1,Gatito Fernández,,,,,,
433,2013-09-10,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Paraguay,Y*,,,,,12,0-0,Gatito Fernández,,,,,,
,,,,,,,,,,,,,,,,,,,,
434,2013-09-01,La Liga,Matchweek 3,Away,Barcelona,Valencia,Y,,,,,41,2-0,Diego Alves,,,,,,
435,2013-09-01,La Liga,Matchweek 3,Away,Barcelona,Valencia,Y,,,,,39,1-0,Diego Alves,,,,,,
436,2013-09-01,La Liga,Matchweek 3,Away,Barcelona,Valencia,Y,,,,,11,0-0,Diego Alves,,,,,,
437,2013-08-18,La Liga,Matchweek 1,Home,Barcelona,Levante,Y,,,,,41,4-0,Keylor Navas,,,,,,
438,2013-08-18,La Liga,Matchweek 1,Home,Barcelona,Levante,Y,,,,,12,1-0,Keylor Navas,,,,,,
439,2013-05-05,La Liga,Matchweek 34,Home,Barcelona,Betis,N,,,,,71,3-2,Adrián,,,,,,
440,2013-05-05,La Liga,Matchweek 34,Home,Barcelona,Betis,N,,,,,60,2-2,Adrián,,,,,,
441,2013-04-27,La Liga,Matchweek 33,Away,Barcelona,Athletic Club,N,,,,,60,0-1,Gorka Iraizoz,,,,,,
442,2013-04-02,Champions Lg,Quarter-finals,Away,Barcelona,Paris S-G,Y,,,,,38,0-0,,,,,,,
443,2013-03-30,La Liga,Matchweek 29,Away,Barcelona,Celta Vigo,Y,,,,,72,1-1,Javi Varas,,,,,,
,,,,,,,,,,,,,,,,,,,,
444,2013-03-22,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Venezuela,Y*,,,,,43,1-0,Dani Hernández,,,,,,
,,,,,,,,,,,,,,,,,,,,
445,2013-03-17,La Liga,Matchweek 28,Home,Barcelona,Rayo Vallecano,Y,,,,,57,2-0,Rubén,,,,,,
446,2013-03-17,La Liga,Matchweek 28,Home,Barcelona,Rayo Vallecano,Y,,,,,40,1-0,Rubén,,,,,,
447,2013-03-12,Champions Lg,Round of 16,Home,Barcelona,Milan,Y,,,,,40,1-0,,,,,,,
448,2013-03-12,Champions Lg,Round of 16,Home,Barcelona,Milan,Y,,,,,5,0-0,,,,,,,
449,2013-03-09,La Liga,Matchweek 27,Home,Barcelona,La Coruña,N,,,,,87,1-0,Daniel Aranzubia,,,,,,
450,2013-03-02,La Liga,Matchweek 26,Away,Barcelona,Real Madrid,Y,,,,,18,0-1,Diego López,,,,,,
451,2013-02-23,La Liga,Matchweek 25,Home,Barcelona,Sevilla,Y,,,,,59,1-1,Beto,,,,,,
452,2013-02-16,La Liga,Matchweek 24,Away,Barcelona,Granada,Y,,,,,72,1-1,Toño,,,,,,
453,2013-02-16,La Liga,Matchweek 24,Away,Barcelona,Granada,Y,,,,,49,0-1,Toño,,,,,,
454,2013-02-10,La Liga,Matchweek 23,Home,Barcelona,Getafe,Y,,,,,13,1-0,Jordi Codina,,,,,,
455,2013-02-03,La Liga,Matchweek 22,Away,Barcelona,Valencia,Y,,,,,39,0-1,Vicente Guaita,,,,,,
456,2013-01-27,La Liga,Matchweek 21,Home,Barcelona,Osasuna,Y,,,,,57,4-1,Andrés Fernández,,,,,,
457,2013-01-27,La Liga,Matchweek 21,Home,Barcelona,Osasuna,Y,,,,,55,3-1,Andrés Fernández,,,,,,
458,2013-01-27,La Liga,Matchweek 21,Home,Barcelona,Osasuna,Y,,,,,28,1-1,Andrés Fernández,,,,,,
459,2013-01-27,La Liga,Matchweek 21,Home,Barcelona,Osasuna,Y,,,,,10,0-0,Andrés Fernández,,,,,,
460,2013-01-19,La Liga,Matchweek 20,Away,Barcelona,Real Sociedad,Y,,,,,6,0-0,Claudio Bravo,,,,,,
461,2013-01-13,La Liga,Matchweek 19,Away,Barcelona,Málaga,Y,,,,,26,0-0,Willy Caballero,,,,,,
462,2013-01-06,La Liga,Matchweek 18,Home,Barcelona,Espanyol,Y,,,,,28,3-0,Kiko Casilla,,,,,,
463,2012-12-22,La Liga,Matchweek 17,Away,Barcelona,Valladolid,Y,,,,,59,1-0,Dani Hernández,,,,,,
464,2012-12-16,La Liga,Matchweek 16,Home,Barcelona,Atlético Madrid,Y,,,,,87,3-1,Thibaut Courtois,,,,,,
465,2012-12-16,La Liga,Matchweek 16,Home,Barcelona,Atlético Madrid,Y,,,,,57,2-1,Thibaut Courtois,,,,,,
466,2012-12-09,La Liga,Matchweek 15,Away,Barcelona,Betis,Y,,,,,25,1-0,Adrián,,,,,,
467,2012-12-09,La Liga,Matchweek 15,Away,Barcelona,Betis,Y,,,,,16,0-0,Adrián,,,,,,
468,2012-12-01,La Liga,Matchweek 14,Home,Barcelona,Athletic Club,Y,,,,,69,4-1,Gorka Iraizoz,,,,,,
469,2012-12-01,La Liga,Matchweek 14,Home,Barcelona,Athletic Club,Y,,,,,24,1-0,Gorka Iraizoz,,,,,,
470,2012-11-25,La Liga,Matchweek 13,Away,Barcelona,Levante,Y,,,,,51,1-0,Gustavo Munúa,,,,,,
471,2012-11-25,La Liga,Matchweek 13,Away,Barcelona,Levante,Y,,,,,46,0-0,Gustavo Munúa,,,,,,
472,2012-11-20,Champions Lg,Group stage,Away,Barcelona,Spartak Moscow,Y,,,,,39,2-0,,,,,,,
473,2012-11-20,Champions Lg,Group stage,Away,Barcelona,Spartak Moscow,Y,,,,,27,1-0,,,,,,,
474,2012-11-17,La Liga,Matchweek 12,Home,Barcelona,Zaragoza,Y,,,,,60,2-1,Roberto,,,,,,
475,2012-11-17,La Liga,Matchweek 12,Home,Barcelona,Zaragoza,Y,,,,,15,0-0,Roberto,,,,,,
476,2012-11-11,La Liga,Matchweek 11,Away,Barcelona,Mallorca,Y,,,,,70,3-2,Dudu Aouate,,,,,,
477,2012-11-11,La Liga,Matchweek 11,Away,Barcelona,Mallorca,Y,,,,,43,1-0,Dudu Aouate,,,,,,
478,2012-11-07,Champions Lg,Group stage,Away,Barcelona,Celtic,Y,,,,,90+1,0-2,,,,,,,
479,2012-10-27,La Liga,Matchweek 9,Away,Barcelona,Rayo Vallecano,Y,,,,,87,4-0,Rubén,,,,,,
480,2012-10-27,La Liga,Matchweek 9,Away,Barcelona,Rayo Vallecano,Y,,,,,47,1-0,Rubén,,,,,,
481,2012-10-20,La Liga,Matchweek 8,Away,Barcelona,La Coruña,Y,,,,,76,4-3,Daniel Aranzubia,,,,,,
482,2012-10-20,La Liga,Matchweek 8,Away,Barcelona,La Coruña,Y,,,,,43,3-2,Daniel Aranzubia,,,,,,
483,2012-10-20,La Liga,Matchweek 8,Away,Barcelona,La Coruña,Y,,,,,17,2-0,Daniel Aranzubia,,,,,,
,,,,,,,,,,,,,,,,,,,,
484,2012-10-16,WCQ,WCQ — CONMEBOL (M),Away,Argentina,Chile,Y*,,,,,28,0-0,Miguel Pinto,,,,,,
