Rk,Date,Comp,Round,Venue,Squad,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type,Notes
63,2021-03-15,La Liga,Matchweek 27,Home,Barcelona,Huesca,Y*,0.03,0.33,Left Foot,22,13,0-0,Álvaro Fernández,Sergio Busquets,Lionel Messi,Dribble,Sergio Busquets,Pass (Live),
64,2021-03-10,Champions Lg,Round of 16,Away,Barcelona,Paris S-G,Y*,0.03,0.36,Left Foot,32,37,0-1,Keylor Navas,Pedri,Pedri,Pass (Live),Ousmane Dembélé,Pass (Live),
65,2021-02-27,La Liga,Matchweek 25,Away,Barcelona,Sevilla,Y*,0.85,0.97,Right Foot,3,85,1-0,Yassine Bounou,,Lionel Messi,Dribble,Lionel Messi,Shot,
66,2021-02-24,La Liga,Matchweek 1,Home,Barcelona,Elche,Y*,0.74,0.95,Left Foot,6,68,1-0,Édgar Badía,Frenkie de Jong,Lionel Messi,Dribble,Lionel Messi,Dribble,
67,2021-02-24,La Liga,Matchweek 1,Home,Barcelona,Elche,Y*,0.48,0.90,Left Foot,9,48,0-0,Édgar Badía,Martin Braithwaite,Martin Braithwaite,Pass (Live),Lionel Messi,Pass (Live),
68,2021-02-21,La Liga,Matchweek 24,Home,Barcelona,Cádiz,Y*,0.79,0.98,Left Foot,13,32,0-0,Jeremías Ledesma,,Pedri,Fouled,,,
69,2021-02-16,Champions Lg,Round of 16,Home,Barcelona,Paris S-G,Y*,0.79,0.98,Left Foot,13,27,0-0,Keylor Navas,,Frenkie de Jong,Fouled,Gerard Piqué,Pass (Live),
70,2021-02-13,La Liga,Matchweek 23,Home,Barcelona,Alavés,Y*,0.03,0.48,Left Foot,28,75,3-1,Fernando Pacheco,Antoine Griezmann,Antoine Griezmann,Pass (Live),Junior Firpo,Pass (Live),
71,2021-02-13,La Liga,Matchweek 23,Home,Barcelona,Alavés,Y*,0.03,0.28,Left Foot,26,45+1,1-0,Fernando Pacheco,Sergio Busquets,Lionel Messi,Dribble,Sergio Busquets,Pass (Live),
72,2021-02-07,La Liga,Matchweek 22,Away,Barcelona,Betis,N,0.06,0.38,Left Foot,18,59,0-1,Joel Robles,Ousmane Dembélé,Ousmane Dembélé,Pass (Live),,,
73,2021-01-31,La Liga,Matchweek 21,Home,Barcelona,Athletic Club,Y*,0.07,0.58,Left Foot,28,20,0-0,Unai Simón,,Lionel Messi,Fouled,Ousmane Dembélé,Pass (Live),
74,2021-01-27,Copa del Rey,Round of 16,Away,Barcelona,Rayo Vallecano,Y*,,,,,69,0-1,Stole Dimitrievski,Antoine Griezmann,,,,,
75,2021-01-09,La Liga,Matchweek 18,Away,Barcelona,Granada,Y*,0.12,0.59,Left Foot,21,42,2-0,Rui Silva,,Pedri,Fouled,Lionel Messi,Pass (Live),
76,2021-01-09,La Liga,Matchweek 18,Away,Barcelona,Granada,Y*,0.08,0.42,Left Foot,15,35,1-0,Rui Silva,Antoine Griezmann,Antoine Griezmann,Pass (Live),Sergio Busquets,Pass (Live),
77,2021-01-06,La Liga,Matchweek 2,Away,Barcelona,Athletic Club,Y*,0.11,0.33,Left Foot,9,62,2-1,Unai Simón,Antoine Griezmann,Antoine Griezmann,Pass (Live),Jordi Alba,Pass (Live),
78,2021-01-06,La Liga,Matchweek 2,Away,Barcelona,Athletic Club,Y*,0.22,0.40,Left Foot,17,38,1-1,Unai Simón,Pedri,Pedri,Pass (Live),Lionel Messi,Pass (Live),
79,2020-12-22,La Liga,Matchweek 15,Away,Barcelona,Valladolid,Y*,0.43,0.76,Left Foot,11,65,2-0,Jordi Masip,Pedri,Lionel Messi,Dribble,Pedri,Pass (Live),
80,2020-12-19,La Liga,Matchweek 14,Home,Barcelona,Valencia,Y*,0.85,0.97,Head,1,45+4,0-1,Jaume Doménech,,,,,,
81,2020-12-13,La Liga,Matchweek 13,Home,Barcelona,Levante,Y*,0.26,0.84,Left Foot,14,76,0-0,Aitor Fernández,Frenkie de Jong,Frenkie de Jong,Pass (Live),Martin Braithwaite,Tackle,
82,2020-11-29,La Liga,Matchweek 11,Home,Barcelona,Osasuna,Y*,0.04,0.30,Left Foot,20,73,3-0,Sergio Herrera,Francisco Trincão,Lionel Messi,Dribble,Francisco Trincão,Pass (Live),
83,2020-11-07,La Liga,Matchweek 9,Home,Barcelona,Betis,N,0.28,0.56,Left Foot,9,82,3-2,Claudio Bravo,Sergi Roberto,Sergi Roberto,Pass (Live),Lionel Messi,Pass (Live),
84,2020-11-07,La Liga,Matchweek 9,Home,Barcelona,Betis,N,0.79,0.99,Left Foot,13,61,2-1,Claudio Bravo,,,Fouled,Ousmane Dembélé,Shot,
85,2020-11-04,Champions Lg,Group stage,Home,Barcelona,Dynamo Kyiv,Y*,0.79,0.99,Left Foot,13,5,0-0,Ruslan Neshcheret,,Lionel Messi,Fouled,Ansu Fati,Pass (Live),
86,2020-10-28,Champions Lg,Group stage,Away,Barcelona,Juventus,Y*,0.79,0.99,Left Foot,13,90+1,1-0,Wojciech Szczęsny,,Ansu Fati,Fouled,Lionel Messi,Pass (Live),
87,2020-10-20,Champions Lg,Group stage,Home,Barcelona,Ferencváros,Y*,0.79,0.99,Left Foot,13,27,0-0,Dénes Dibusz,,Lionel Messi,Fouled,Lionel Messi,Dribble,
,,,,,,,,,,,,,,,,,,,,
88,2020-10-08,WCQ,WCQ — CONMEBOL (M),Home,Argentina,Ecuador,Y*,,,,,13,0-0,Alexander Domínguez,,,,,,
,,,,,,,,,,,,,,,,,,,,
89,2020-09-27,La Liga,Matchweek 3,Home,Barcelona,Villarreal,Y*,0.79,0.97,Left Foot,13,35,2-0,Sergio Asenjo,,Ansu Fati,Fouled,Frenkie de Jong,Pass (Live),
90,2020-08-08,Champions Lg,Round of 16,Home,Barcelona,Napoli,Y*,0.09,0.58,Left Foot,14,23,1-0,David Ospina,,Lionel Messi,Dribble,,,
91,2020-07-19,La Liga,Matchweek 38,Away,Barcelona,Alavés,Y*,0.09,0.07,Left Foot,12,75,4-0,Roberto,Jordi Alba,Jordi Alba,Pass (Live),Frenkie de Jong,Pass (Live),
92,2020-07-19,La Liga,Matchweek 38,Away,Barcelona,Alavés,Y*,0.74,0.98,Left Foot,7,34,1-0,Roberto,Riqui Puig,Lionel Messi,Dribble,Riqui Puig,Pass (Live),
93,2020-07-16,La Liga,Matchweek 37,Home,Barcelona,Osasuna,Y*,0.06,0.49,Left Foot,28,62,0-1,Sergio Herrera,,Luis Suárez,Fouled,Riqui Puig,Pass (Live),
