idx,player_name,player_pics,teams
58,V. Milinković-Savić,https://cdn.sofifa.com/players/224/836/22_60.png,"{' Manchester United', ' Standard Liège', ' Lechia Gdańsk', ' SPAL', ' Ascoli', ' Torino'}"
65,Pacheco,https://cdn.sofifa.com/players/209/960/22_60.png,"{' Almería', ' Real Madrid II', ' Deportivo Alavés', ' Real Madrid'}"
66,D. von Ballmoos,https://cdn.sofifa.com/players/219/244/22_60.png,"{' Young Boys', ' Switzerland'}"
71,Cantero,https://cdn.sofifa.com/players/219/637/22_60.png,"{' Villarreal', ' SD Eibar', ' Lugo', ' Osasuna', ' Rayo Majadahonda'}"
68,M. Pigliacelli,https://cdn.sofifa.com/players/205/530/22_60.png,"{' Trapani', ' Roma', ' Universitatea Craiova', ' Pro Vercelli', ' Frosinone', ' Sassuolo', ' Reggina', ' Pescara', ' Palermo'}"
62,Diego Mariño,https://cdn.sofifa.com/players/199/493/22_60.png,"{' Real Valladolid', ' Sporting Gijón', ' Villarreal', ' Villarreal II', ' Levante'}"
67,David Raya,https://cdn.sofifa.com/players/220/901/22_60.png,"{' Brentford', ' Spain', ' Blackburn Rovers'}"
69,S. Sosa,https://cdn.sofifa.com/players/205/409/22_60.png,"{' Independiente', ' Morelia', ' Vélez Sarsfield', ' Mazatlán', ' Pachuca', ' Boca Juniors', ' Rosario Central'}"
73,S. Handanovič,https://cdn.sofifa.com/players/162/835/22_60.png,"{' Rimini', ' Udinese', ' Slovenia', ' Inter'}"
70,J. Zoet,https://cdn.sofifa.com/players/190/778/22_60.png,"{' Netherlands', ' PSV', ' 113974', ' Spezia', ' FC Utrecht', ' RKC Waalwijk'}"
72,A. Rossi,https://cdn.sofifa.com/players/227/275/22_60.png,"{' Lanús', ' Defensa y Justicia', ' Antofagasta', ' 114149', ' Estudiantes', ' Boca Juniors'}"
79,Unai Simón,https://cdn.sofifa.com/players/230/869/22_60.png,"{' Spain', ' Elche', ' Athletic Club'}"
76,S. Mignolet,https://cdn.sofifa.com/players/173/426/22_60.png,"{' Sunderland', ' Belgium', ' Sint-Truiden', ' Liverpool', ' Club Brugge'}"
74,Álex Remiro,https://cdn.sofifa.com/players/227/127/22_60.png,"{' Athletic Club II', ' Real Sociedad', ' Athletic Club', ' Huesca', ' Levante'}"
