,player,teams
83,Matthijs de Ligt,"['Ajax II', 'Juventus', 'Ajax']"
84,Bruno Miguel Borges Fernandes,"['Sporting CP', 'Sampdoria', 'Manchester United', 'Man Utd', 'Novara', 'Udinese']"
85,Anthony Lopes,"['Olympique Lyonnais', 'Olympique Lyon…']"
86,Roman Bürki,"['FC Schaffhausen', 'Dortmund', 'Thun', 'FC Schaffh', 'Borussia Dortmund', 'Freiburg', 'Grasshopper', 'Young Boys']"
87,Romelu Lukaku,"['Chelsea', 'Inter', 'West Bromwich …', 'Internazionale', 'Manchester United', 'West Bromwich', 'Man Utd', 'Everton', 'Anderlecht']"
88,Péter Gulácsi,"['Hereford', 'RB Leipzig', 'Hereford United', 'RB Leipzig II', 'Hull City', 'Liverpool', 'Salzburg', 'Hull', 'Leipzig', 'Tranmere Rovers', 'Tranmere']"
89,Clément Lenglet,"['Sevilla', 'Nancy', 'Nancy II', 'Barcelona']"
90,Kostas Manolas,"['Roma', 'AEK', 'AEK Athens', 'Napoli', 'Olympiakos Piraeus', 'Thrasyvoulos', 'Olympiakos']"
91,David Olatukunbo Alaba,"['Bayern München', 'Real Madrid', 'Bayern München II', 'Hoffenheim', 'Bayern Munich']"
92,Alejandro Darío Gómez,"['Metalist Kh', 'San Lorenzo', 'Catania', 'Atalanta', 'Sevilla', 'Metalist', 'Arsenal']"
93,Norberto Murara Neto,"['Juventus', 'Paranaense', 'Fiorentina', 'Athletico Para…', 'Valencia', 'Barcelona']"
94,Zlatan Ibrahimović,"['Juventus', 'Inter', 'Internazionale', 'Milan', 'Manchester United', 'Malmö', 'Man Utd', 'LA Galaxy', 'Barcelona', 'PSG', 'Ajax', 'Galaxy']"
95,Allan Marques Loureiro,"['Vasco da Gama', 'Napoli', 'Everton', 'Vasco', 'Udinese']"
96,James David Rodríguez Rubio,"['Monaco', 'Real Madrid', 'Bayern München', 'Porto', 'Banfield', 'Everton', 'Bayern Munich']"
97,Jadon Sancho,"['Manchester Cit…', 'Dortmund', 'Borussia Dortm…', 'Borussia Dortmund', 'Man City']"
98,Mauro Emanuel Icardi Rivero,"['Sampdoria', 'Inter', 'Internazionale', 'PSG']"
99,Axel  Witsel,"['Zenit', 'Dortmund', 'Tianjin', 'Standard Liège', 'Standard', 'Borussia Dortmund', 'Tianjin Tianhai', 'Benfica']"
100,Daniel Carvajal Ramos,"['Real Madrid', 'Leverkusen', 'Bayer Leverkusen', 'Real Madrid II']"
101,Alex Sandro Lobo Silva,"['Juventus', 'Santos', 'Athletico Para…', 'Porto']"
102,Kai Havertz,"['Chelsea', 'Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen']"
103,Kepa Arrizabalaga,"['Chelsea', 'Athletic Club', 'Athletic Club II', 'Real Valladolid', 'Valladolid', 'Ponferradina']"
104,Gareth Frank Bale,"['Southampton', 'Real Madrid', 'Tottenham', 'Tottenham Hotspur']"
105,Gonzalo Gerardo Higuaín,"['Chelsea', 'Juventus', 'River Plate', 'Milan', 'Real Madrid', 'Napoli', 'Inter Miami']"
106,Marcelo Vieira da Silva Júnior,"['Fluminense', 'Real Madrid']"
107,Hakim Ziyech,"['Chelsea', 'Heerenveen', 'Ajax', 'Twente']"
108,Blaise Matuidi,"['Troyes', 'Juventus', 'Saint-Etienne', 'Inter Miami', 'Saint-Étienne', 'PSG']"
109,Iago Aspas Juncal,"['Liverpool', 'Sevilla', 'Celta Vigo']"
110,Ousmane Dembélé,"['Rennes', 'Dortmund', 'Borussia Dortmund', 'Barcelona', 'Rennes II']"
111,João Pedro Cavaco Cancelo,"['Juventus', 'Inter', 'Internazionale', 'Benfica II', 'Benfica', 'Valencia', 'Manchester City', 'Man City']"
112,Arthur Henrique Ramos Oliveira Melo,"['Grêmio', 'Juventus', 'Barcelona']"
113,Bamidele Alli,"['MK Dons', 'Milton Keynes Dons', 'Tottenham Hotspur', 'Tottenham']"
114,Lucas Hernández,"['Atlético Madrid II', 'Bayern München', 'Atlético', 'Atletico Madrid', 'Bayern Munich']"
115,Julian Brandt,"['Bayer Leverkus…', 'Leverkusen', 'Bayer Leverkusen', 'Wolfsburg U19', 'Dortmund', 'Wolfsburg', 'Borussia Dortmund']"
116,Jorge Resurrección Merodio,"['Atletico Madrid', 'Atlético Madrid II']"
117,Luis Alberto Romero Alconchel,"['La Coruña', 'Liverpool', 'Deportivo La C…', 'Málaga', 'Barcelona', 'Sevilla II', 'Sevilla', 'Barcelona II', 'Lazio']"
118,Leon Goretzka,"['Bochum', 'Bayern München', 'Schalke 04 II', 'Schalke 04', 'Bayern Munich']"
119,Memphis Depay,"['PSV', 'Lyon', 'Manchester United', 'Man Utd', 'Olympique Lyonnais', 'Barcelona']"
120,Nabil Fekir,"['Lyon', 'Betis', 'Olympique Lyonnais', 'Olympique Lyon…', 'Real Betis']"
121,Bernd Leno,"['Stuttgart II', 'Leverkusen', 'Bayer Leverkusen', 'Stuttgart', 'Arsenal']"
122,Kingsley Coman,"['Juventus', 'Bayern München', 'PSG II', 'PSG', 'Bayern Munich']"
123,Stefan de Vrij,"['Lazio', 'Inter', 'Feyenoord', 'Internazionale']"
124,Alex Nicolao Telles,"['Grêmio', 'Inter', 'Internazionale', 'Manchester United', 'Porto', 'Juventude', 'Galatasaray', 'Man Utd']"
125,Jiří Pavlenka,"['Slavia Praha', 'Baník', 'Werder Bremen', 'Slavia', 'Bremen', 'Baník Ostrava']"
126,Felipe  Anderson Pereira Gomes,"['West Ham United', 'Santos', 'Porto', 'West Ham', 'Lazio']"
127,Stéphane Ruffier,"['Monaco', 'Saint-Etienne', 'Bayonne', 'Saint-Étienne', 'Aviron Bayonnais']"
